Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation (m)
SC15-C-01-1-18,Naesiotus,wolfi,Naesiotus wolfi,-0.690075466,-90.44578481,144.0822754
SC18-46,Naesiotus,ochsneri,Naesiotus ochsneri,-0.618727785,-90.44570058,369.5096436
SC18-46 N=34,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6187333,-90.4457,370
SC18-46 N=33,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6187333,-90.4457,370
SC02-012,Naesiotus,steadmani,Naesiotus steadmani,-0.63275,-90.43555,
SC 00 03,Naesiotus,alethorhytidus,Naesiotus alethorhytidus,-0.669,-90.43233,245
SC 00 03tunnel,Naesiotus,alethorhytidus,Naesiotus alethorhytidus,-0.669,-90.43233,245
SC 00 03 tunnel,Naesiotus,ochsneri,Naesiotus ochsneri,-0.669,-90.43233,245
SC 00 03 tunnel,Naesiotus,ochsneri,Naesiotus ochsneri,-0.669,-90.43233,245
SC 14 cueva primicia,Naesiotus,ochsneri,Naesiotus ochsneri,-0.669,-90.43233,245
SC 00 04 cav. 01,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 02,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 03,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 04,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 05,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 06,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 07,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 08,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 09,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 10,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 11,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 12,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 13,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 00 04 14,Naesiotus,cavagnaroi,Naesiotus cavagnaroi,-0.668698,-90.431738,
SC 15 La Caseta,Naesiotus,eos,Naesiotus eos,-0.7102,-90.4275333,87
SC 15 La Caseta,Naesiotus,ochsneri,Naesiotus ochsneri,-0.7102,-90.4275333,87
