Species,Latitude,Longitude
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S12,-0.6755667,-90.23695
S11,-0.6755667,-90.23695
S01,-0.6755667,-90.23695
S03,-0.6755667,-90.23695
S03,-0.6755667,-90.23695
S11,-0.6755667,-90.23695
S03,-0.6755667,-90.23695
S11,-0.6755667,-90.23695
S11,-0.6755667,-90.23695
S14,-0.6755667,-90.23695
S14,-0.6755667,-90.23695
S09,-0.658959495,-90.23568604
S02,-0.65868197,-90.23466798
S03,-0.65868197,-90.23466798
S01,-0.6763167,-90.23457
S17,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S09,-0.6763167,-90.23457
S09,-0.6763167,-90.23457
S09,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S09,-0.6763167,-90.23457
S09,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S09,-0.6763167,-90.23457
S09,-0.6763167,-90.23457
S09,-0.6763167,-90.23457
S01,-0.6763167,-90.23457
S06,-0.676716138,-90.23428601
S01,-0.6766167,-90.23422
S02,-0.658436464,-90.23364698
S09,-0.658436464,-90.23364698
S03,-0.658436464,-90.23364698
