Species,Latitude,Longitude,Locality
Naesiotus n.sp.SC-2,-0.6531,-90.25455,SC 03 26
Naesiotus akamatus,-0.653096437,-90.25454197,SC GA 26
Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,SC05 261-1
Naesiotus reibischii,-0.653096437,-90.25454197,SC GA 26
Naesiotus akamatus,-0.653056707,-90.24518399,SC GA 39
Naesiotus hirsutus,-0.653056707,-90.24518399,SC GA 39
Naesiotus reibischii,-0.653056707,-90.24518399,SC GA 39
Naesiotus akamatus,-0.65271724,-90.24442904,SC 03 40
Naesiotus hirsutus,-0.65271724,-90.24442904,SC 03 40
Naesiotus n.sp.SC-2,-0.65271724,-90.24442904,SC 03 40
Naesiotus reibischii,-0.65271724,-90.24442904,SC GA 40
Naesiotus akamatus,-0.65245,-90.24515,SC1T2
Naesiotus hirsutus,-0.65245,-90.24515,SC1T2
Naesiotus n.sp.SC-1,-0.65245,-90.24515,SC1T2
Naesiotus akamatus,-0.651557771,-90.24494377,SC15-G-01-1-10
Naesiotus hirsutus,-0.651557771,-90.24494377,SC15-G-01-3-1
Naesiotus kublerensis,-0.651557771,-90.24494377,SC15-G-01-1-1
Naesiotus reibischii,-0.651557771,-90.24494377,SC15-G-01-2-1
Naesiotus n.sp.SC-2,-0.648617065,-90.25120002,SC05 301-1
Naesiotus akamatus,-0.6473,-90.25055,SC 03 31
Naesiotus hirsutus,-0.6473,-90.25055,SC 03 31
Naesiotus akamatus,-0.645934939,-90.24991198,GA 32
Naesiotus akamatus,-0.6456167,-90.2496667,SC 03 33
Naesiotus hirsutus,-0.6456167,-90.2496667,SC 03 33
Naesiotus n.sp.SC-2,-0.6452333,-90.24925,SC 03 34
Naesiotus cavagnaroi,-0.642501796,-90.32588303,SC 01 CROCKER
Naesiotus eos,-0.642501796,-90.32588303,SC 01 CROCKER
Naesiotus ochsneri,-0.642501796,-90.32588303,SC 01 CROCKER
Naesiotus saeronius,-0.642501796,-90.32588303,SC 01 CROCKER
Naesiotus ochsneri,-0.641398989,-90.45033401,SC19-10
Naesiotus wolfi 2,-0.641398989,-90.45033401,SC19-10
Naesiotus cavagnaroi,-0.6379167,-90.2961,SC18-16 N=5
Naesiotus lycodus,-0.6379167,-90.2961,SC18-16 N=5
Naesiotus ochsneri,-0.637391517,-90.29662759,SC18-17 N=34
Naesiotus lycodus,-0.637391517,-90.29662759,SC18-17 N=34
Naesiotus saeronius,-0.637391517,-90.29662759,SC18-17 N=34
